(1-15)|1|30673019
(10:19)|1|28588001
(10:29)|1|24619001
(10:33)|1|25398001
(10:38)|2|25403001 25404001
(10:5)|5|23424001 25370001 25371001 25372001 30140001
(11:1)|1|26526001
(11:17)|3|26542001 26543001 30191001
(11:20)|1|24662001
(11:22)|2|27331001 27332001
(11:29)|2|26554001 26555001
(11:5)|2|25412001 28216001
(11:50)|1|25457001
(11:53)|1|25460001
(11:8)|1|30882001
(12-18)|1|30910001
(12-37b)|1|24712001
(12-38)|1|24712017
(12:12)|1|30226001
(12:2)|2|29026001 29027001
(12:23)|1|26605001
(12:3)|1|23494001
(12:35)|1|25496001
(12:42)|2|25503001 25504001
(12:57)|1|25518001
(13-1)|1|30910016
(13:13)|1|29058001
(13:20)|1|30263001
(13:32)|2|25552001 27396001
(13:36)|1|27400001
(13:38)|1|27402001
(13:4)|1|27368001
(13:40)|1|27404001
(13:6)|2|27370001 27371001
(14:1)|1|24757001
(14:12)|1|30940001
(14:16)|1|26686001
(14:34)|1|25589001
(14:35)|1|24791001
(14:66)|1|24822001
(15:10)|1|27454001
(15:15)|1|28735001
(15:17)|1|27461001
(15:19)|1|27463001
(15:24)|1|24852001
(15:40)|1|24868001
(15:42)|1|24870001
(15:5)|1|23640001
(15:53)|1|28773001
(16:15)|1|30971001
(16:3)|1|24878001
(17:1)|1|26762001
(17:19)|2|27544001 27545001
(17:20)|1|25673001
(17:22)|1|27547001
(17:6)|1|27531001
(18-38b)|1|26825001
(18-39)|1|26825034
(18:1)|2|27560001 27561001
(18:11)|2|23740001 23741001
(18:16)|1|25706001
(18:18)|1|27577001
(18:2)|1|26789001
(19-16b)|1|26843001
(19-17)|1|26843010
(19:13)|1|27600001
(19:2)|1|26829001
(19:35)|1|27622001
(1:1)|13|23147001 24896001 24897001 26926001 26927001 29060001 29699001 29812001 29895001 29896001 29897001 30377001 30700001
(1:10)|1|30278001
(1:11)|4|29219001 29478001 29479001 29976001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|29711001
(1:14)|1|27946001
(1:15)|3|29074001 29378001 29379001
(1:16)|2|29827001 29828001
(1:17)|2|30498001 30691001
(1:19)|1|27951001
(1:2)|1|27934001
(1:21)|4|26946001 28386001 29384001 29385001
(1:23)|1|30291001
(1:24)|2|24919001 26949001
(1:26)|1|29493001
(1:27)|1|29390001
(1:32)|1|26078001
(1:39)|1|24934001
